County,,,Cellucci and Swift,Harshbarger and Tolman,Cook and Israel,All Others,Blank Votes,Total Votes Cast
BARNSTABLEMore »,,,"50,690","40,259","1,628",90,"1,639","94,306"
,,,,,,,,
BERKSHIREMore »,,,"20,679","19,593",616,12,659,"41,559"
,,,,,,,,
BRISTOLMore »,,,"69,209","69,190","2,196",113,"2,367","143,075"
,,,,,,,,
DUKESMore »,,,"2,639","3,550",143,4,109,"6,445"
,,,,,,,,
ESSEXMore »,,,"118,540","99,452","3,890",257,"3,966","226,105"
,,,,,,,,
FRANKLINMore »,,,"9,882","12,866",456,28,335,"23,567"
,,,,,,,,
HAMPDENMore »,,,"58,517","55,709","2,030",108,"2,346","118,710"
,,,,,,,,
HAMPSHIREMore »,,,"19,239","26,836",916,41,641,"47,673"
,,,,,,,,
MIDDLESEXMore »,,,"230,004","232,302","7,783",602,"6,515","477,206"
,,,,,,,,
NANTUCKETMore »,,,"1,755","1,681",84,5,75,"3,600"
,,,,,,,,
NORFOLKMore »,,,"120,729","106,999","3,613",345,"3,978","235,664"
,,,,,,,,
PLYMOUTHMore »,,,"81,047","59,525","2,766",231,"2,242","145,811"
,,,,,,,,
SUFFOLKMore »,,,"58,384","83,048","2,376",22,"3,812","147,642"
,,,,,,,,
WORCESTERMore »,,,"125,846","90,833","3,687",291,"3,257","223,914"
,,,,,,,,
TOTALS,,,"967,160","901,843","32,184","2,149","31,941","1,935,277"
