County,,,Patrick/ Murray,Healey/ Hillman,Mihos/ Sullivan,Ross/ Robinson,All Others,Blank Votes,Total Votes Cast
BARNSTABLEMore »,,,"47,713","44,986","9,029","2,506",61,"1,105","105,400"
,,,,,,,,,
BERKSHIREMore »,,,"35,035","9,339","1,218",504,23,629,"46,748"
,,,,,,,,,
BRISTOLMore »,,,"95,623","57,233","11,379","2,436",110,"2,598","169,379"
,,,,,,,,,
DUKESMore »,,,"4,817","2,143",420,239,1,79,"7,699"
,,,,,,,,,
ESSEXMore »,,,"131,376","102,584","17,686","5,054",328,"3,460","260,488"
,,,,,,,,,
FRANKLINMore »,,,"20,204","6,212","1,446",631,60,249,"28,802"
,,,,,,,,,
HAMPDENMore »,,,"74,899","48,511","9,664","2,105",160,"1,706","137,045"
,,,,,,,,,
HAMPSHIREMore »,,,"38,025","14,232","2,999","1,162",42,379,"56,839"
,,,,,,,,,
MIDDLESEXMore »,,,"299,749","185,738","35,267","11,702",783,"5,205","538,444"
,,,,,,,,,
NANTUCKETMore »,,,"2,244","1,402",270,74,4,38,"4,032"
,,,,,,,,,
NORFOLKMore »,,,"134,916","99,995","18,879","4,873",387,"2,596","261,646"
,,,,,,,,,
PLYMOUTHMore »,,,"84,296","74,933","19,063","3,189",177,"1,549","183,207"
,,,,,,,,,
SUFFOLKMore »,,,"126,242","41,316","7,841","3,606",228,"2,032","181,265"
,,,,,,,,,
WORCESTERMore »,,,"139,845","95,718","19,467","5,112",268,"2,431","262,841"
,,,,,,,,,
TOTALS,,,"1,234,984","784,342","154,628","43,193","2,632","24,056","2,243,835"
