County,,,Obama/ Biden,McCain/ Palin,Nader/ Gonzalez,Barr/ Root,McKinney/ Clemente,Baldwin/ Castle,All Others,No Preference,Blank Votes,Total Votes Cast
BARNSTABLEMore ¯,,,"74,264","55,694","1,071",489,215,195,342,0,"1,330","133,600"
,,,,,,,,,,,,
BERKSHIREMore ¯,,,"49,558","14,876",855,248,209,169,215,0,463,"66,593"
,,,,,,,,,,,,
BRISTOLMore ¯,,,"146,861","90,531","2,490",913,435,579,"1,311",0,"2,792","245,912"
,,,,,,,,,,,,
DUKESMore ¯,,,"7,913","2,442",93,37,29,14,25,0,56,"10,609"
,,,,,,,,,,,,
ESSEXMore ¯,,,"208,976","137,129","3,055","1,604",603,518,"1,577",0,"2,609","356,071"
,,,,,,,,,,,,
FRANKLINMore ¯,,,"27,919","9,545",494,182,165,84,140,0,345,"38,874"
,,,,,,,,,,,,
HAMPDENMore ¯,,,"121,454","71,350","2,588",715,444,367,802,0,"1,393","199,113"
,,,,,,,,,,,,
HAMPSHIREMore ¯,,,"56,869","20,618",998,335,344,110,296,0,468,"80,038"
,,,,,,,,,,,,
MIDDLESEXMore ¯,,,"464,484","245,766","6,091","3,575","1,614","1,014","3,487",0,"4,459","730,490"
,,,,,,,,,,,,
NANTUCKETMore ¯,,,"4,073","1,863",49,23,11,8,25,0,29,"6,081"
,,,,,,,,,,,,
NORFOLKMore ¯,,,"200,675","136,841","2,965","1,392",580,489,"1,974",0,"2,438","347,354"
,,,,,,,,,,,,
PLYMOUTHMore ¯,,,"131,817","112,904","2,156",969,387,367,"1,217",0,"1,722","251,539"
,,,,,,,,,,,,
SUFFOLKMore ¯,,,"207,127","57,194","1,788",891,731,296,"1,194",0,"1,452","270,673"
,,,,,,,,,,,,
WORCESTERMore ¯,,,"202,107","152,101","4,148","1,816",783,761,"1,878",0,"2,454","366,048"
,,,,,,,,,,,,
TOTALS,,,"1,904,097","1,108,854","28,841","13,189","6,550","4,971","14,483",0,"22,010","3,102,995"
