County,,,Patrick/ Murray,Baker/ Tisei,Cahill/ Loscocco,Stein/ Purcell,All Others,Blank Votes,Total Votes Cast
BARNSTABLEMore ¯,,,"47,124","50,609","7,524","1,368",38,946,"107,609"
,,,,,,,,,
BERKSHIREMore ¯,,,"30,269","9,266","2,183",804,19,521,"43,062"
,,,,,,,,,
BRISTOLMore ¯,,,"81,059","73,220","15,182","2,061",97,"3,384","175,003"
,,,,,,,,,
DUKESMore ¯,,,"4,908","2,757",580,161,3,118,"8,527"
,,,,,,,,,
ESSEXMore ¯,,,"116,360","127,964","19,620","3,061",146,"2,321","269,472"
,,,,,,,,,
FRANKLINMore ¯,,,"17,068","6,838","2,439","1,418",11,302,"28,076"
,,,,,,,,,
HAMPDENMore ¯,,,"64,711","55,245","16,380","2,931",106,"1,809","141,182"
,,,,,,,,,
HAMPSHIREMore ¯,,,"33,317","15,994","4,725","2,494",27,506,"57,063"
,,,,,,,,,
MIDDLESEXMore ¯,,,"283,221","226,272","34,948","7,478","1,460","4,595","557,974"
,,,,,,,,,
NANTUCKETMore ¯,,,"2,454","1,846",355,54,3,126,"4,838"
,,,,,,,,,
NORFOLKMore ¯,,,"119,806","119,850","28,447","2,826",216,"2,393","273,538"
,,,,,,,,,
PLYMOUTHMore ¯,,,"74,355","96,592","19,295","2,110",107,"1,593","194,052"
,,,,,,,,,
SUFFOLKMore ¯,,,"125,961","46,822","10,811","2,395",171,"1,915","188,075"
,,,,,,,,,
WORCESTERMore ¯,,,"113,565","132,183","22,075","3,910",198,"2,417","274,348"
,,,,,,,,,
TOTALS,,,"1,112,283","964,866","184,395","32,895","2,600","22,924","2,319,963"
