County,,,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blank Votes,Total Votes Cast
BARNSTABLEMore ¯,,,"72,430","54,099","5,337","1,919",77,0,0,0,0,"1,919",0,"2,131","137,912"
,,,,,,,,,,,,,,,
BERKSHIREMore ¯,,,"43,714","16,839","2,555","1,627",68,0,0,0,0,814,0,891,"66,508"
,,,,,,,,,,,,,,,
BRISTOLMore ¯,,,"129,540","105,443","10,180","3,689",107,0,0,0,0,"3,181",0,"4,546","256,686"
,,,,,,,,,,,,,,,
DUKESMore ¯,,,"8,400","2,477",366,259,0,0,0,0,0,172,0,177,"11,851"
,,,,,,,,,,,,,,,
ESSEXMore ¯,,,"222,310","136,316","16,215","4,679",348,3,0,0,0,"5,499",0,"7,419","392,789"
,,,,,,,,,,,,,,,
FRANKLINMore ¯,,,"24,478","10,364","1,902","1,412",9,0,0,12,0,644,0,710,"39,531"
,,,,,,,,,,,,,,,
HAMPDENMore ¯,,,"112,590","78,685","8,322","3,456",64,0,0,0,0,"2,984",0,"3,235","209,336"
,,,,,,,,,,,,,,,
HAMPSHIREMore ¯,,,"55,367","21,790","3,098","2,624",46,8,22,1,0,"1,237",0,"1,431","85,624"
,,,,,,,,,,,,,,,
MIDDLESEXMore ¯,,,"520,360","219,793","32,441","10,511",908,15,6,0,0,"12,701",0,"11,895","808,630"
,,,,,,,,,,,,,,,
NANTUCKETMore ¯,,,"4,146","1,892",260,108,0,0,0,0,0,102,0,75,"6,583"
,,,,,,,,,,,,,,,
NORFOLKMore ¯,,,"221,819","119,723","15,606","4,051",363,0,0,0,0,"6,133",0,"6,847","374,542"
,,,,,,,,,,,,,,,
PLYMOUTHMore ¯,,,"135,513","115,369","12,542","3,203",235,1,0,0,0,"4,314",0,"4,329","275,506"
,,,,,,,,,,,,,,,
SUFFOLKMore ¯,,,"245,751","50,421","7,996","4,465",106,0,0,2,0,"4,542",0,"3,924","317,207"
,,,,,,,,,,,,,,,
WORCESTERMore ¯,,,"198,778","157,682","21,198","5,658",388,1,0,0,0,"6,246",0,"6,145","396,096"
,,,,,,,,,,,,,,,
TOTALS,,,"1,995,196","1,090,893","138,018","47,661","2,719",28,28,15,0,"50,488",0,"53,755","3,378,801"
